Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
22 Jan 2023,Spend Money,CMT UK Ltd,,CMT UK Ltd,cmt uk ltd,Travelling,100.0,cmt uk ltd,True,,,
22 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
22 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
22 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
24 Jan 2023,Spend Money,Brighton Service Station,,Brighton Service Station,brighton service station,Travelling,100.0,brighton service station,True,,,
24 Jan 2023,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
25 Jan 2023,Spend Money,Lords,,Lords,lords,Travelling,100.0,lords,True,,,
25 Jan 2023,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
26 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
26 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
28 Jan 2023,Spend Money,CMT UK Ltd,,CMT UK Ltd,cmt uk ltd,Travelling,100.0,cmt uk ltd,True,,,
28 Jan 2023,Spend Money,TFL London,,TFL London,tfl london,Travelling,100.0,tfl london,True,,,
31 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
01 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
01 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
09 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
12 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
15 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
15 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
15 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
16 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
20 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
20 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
22 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
